Date,UNRATE
2006-08-14,4.629796848455607
2006-08-15,4.622887649785164
2006-08-16,4.615855478482738
2006-08-17,4.608715410959529
2006-08-18,4.601482523626735
2006-08-21,4.579377706882868
2006-08-22,4.57192430442375
2006-08-23,4.56445346421105
2006-08-24,4.556980262655972
2006-08-25,4.549519776169712
2006-08-28,4.527365371235852
2006-08-29,4.520106509136876
2006-08-30,4.512935744162721
2006-08-31,4.505868152724587
2006-09-01,4.498918808319592
2006-09-04,4.478907268519365
2006-09-05,4.472551174722004
2006-09-06,4.466369858214122
2006-09-07,4.460373859528592
2006-09-08,4.454573719198284
2006-09-11,4.438453853667425
2006-09-12,4.433542552086737
2006-09-13,4.428879811525635
2006-09-14,4.424476172516995
2006-09-15,4.420342175593684
2006-09-18,4.409663442664469
2006-09-19,4.406713419411212
2006-09-20,4.404085740907651
2006-09-21,4.401790947686657
2006-09-22,4.399839580281104
2006-09-25,4.396151438285808
2006-09-26,4.395679179470741
2006-09-27,4.395603049135477
2006-09-28,4.395933587812889
2006-09-29,4.396681336035851
2006-10-02,4.401530335659827
2006-10-03,4.404015715537169
2006-10-04,4.406890973974125
2006-10-05,4.410120154220906
2006-10-06,4.41366729952772
2006-10-09,4.42585695831046
2006-10-10,4.430316396359508
2006-10-11,4.434914015719637
2006-10-12,4.4396138596410575
2006-10-13,4.444379971373981
2006-10-16,4.458716345943861
2006-10-17,4.463387961424893
2006-10-18,4.467946060968474
2006-10-19,4.472354687824817
2006-10-20,4.47657788524413
2006-10-23,4.487775333381992
2006-10-24,4.490897245555287
2006-10-25,4.4936539445426025
2006-10-26,4.496009473594147
2006-10-27,4.49792787596013
2006-10-30,4.500700755446816
2006-10-31,4.500511083572656
2006-11-01,4.499704828245692
2006-11-02,4.498274847979184
2006-11-03,4.496264192978625
2006-11-06,4.487229772519497
2006-11-07,4.483378011529589
2006-11-08,4.479186372279059
2006-11-09,4.474703014062589
2006-11-10,4.469976096174872
2006-11-13,4.454815577431064
2006-11-14,4.449596013805197
2006-11-15,4.444373686981506
2006-11-16,4.439196756254678
2006-11-17,4.434113380919398
2006-11-20,4.4199061802097095
2006-11-21,4.4156786193874815
2006-11-22,4.411785410430231
2006-11-23,4.408274712632644
2006-11-24,4.405194685289403
2006-11-27,4.399020218932635
2006-11-28,4.398144466353648
2006-11-29,4.397940180702437
2006-11-30,4.398455521273688
2006-12-01,4.399738647362089
2006-12-04,4.40829649770508
2006-12-05,4.412575880482086
2006-12-06,4.417484869678782
2006-12-07,4.422973193830719
2006-12-08,4.428990581473447
2006-12-11,4.449714410701884
2006-12-12,4.45734533766328
2006-12-13,4.46525397079322
2006-12-14,4.473390038627252
2006-12-15,4.481703269700929
2006-12-18,4.507203227715329
2006-12-19,4.515722397103084
2006-12-20,4.524167372408235
